last_name, first_name,player_id,year,b_k_percent,z_swing_percent,z_swing_miss_percent,oz_swing_percent,oz_swing_miss_percent,oz_contact_percent,meatball_swing_percent,iz_contact_percent,swing_percent,
Cabrera, Miguel,408234,2021,22.4,69.1,18.1,30.3,42.8,57.2,77.6,81.9,49.4,
Cruz Jr., Nelson,443558,2021,21.6,73.8,22.6,31,47.5,52.5,89.3,77.4,51,
Peralta, David,444482,2021,17.1,66.6,13.4,27,40.1,59.6,77.7,86.4,46.5,
Blackmon, Charlie,453568,2021,15.6,67.8,14.2,26.2,36.2,63.4,75.5,85.4,47.3,
McCutchen, Andrew,457705,2021,23.0,63.7,18.9,19.1,49.5,50,80.6,81.1,41.7,
Turner, Justin,457759,2021,16.0,66.9,13.2,22.6,30.7,69.3,77.1,86.8,44.5,
Votto, Joey,458015,2021,23.8,68.1,22.4,21.7,49.4,50.6,81.5,77.6,43.9,
Andrus, Elvis,462101,2021,15.0,66,10.3,31.7,39,61,70.7,89.2,48.9,
Santana, Carlos,467793,2021,15.5,66.9,16.7,22.5,37,63.4,73.9,83.2,43.4,
Lowrie, Jed,476704,2021,21.1,70.9,18.2,20.6,46.5,53,81.9,81.7,46.7,
Brantley Jr., Michael,488726,2021,10.4,65.9,7.1,24.1,21.8,78.2,67.6,92.7,45.6,
Gurriel, Yuli,493329,2021,11.2,62.2,8.8,26.1,24.2,75.8,76.1,91.2,42.8,
Rojas, Miguel,500743,2021,13.7,66.4,11.2,26.3,38.2,61.4,78.2,88.6,45.7,
Escobar, Eduardo,500871,2021,20.7,72.2,18.4,28.8,36.3,63.7,82.4,81.6,49.5,
Pham, Tommy,502054,2021,22.8,59.9,16.6,16.1,50,50,76.4,83.4,38.2,
Martinez, J.D.,502110,2021,23.7,76.5,20.9,33.7,46.7,53.3,84.1,79.1,54.2,
Goldschmidt, Paul,502671,2021,20.0,64.4,21.2,25.2,33.6,66.4,72.9,78.8,44.2,
Altuve, Jose,514888,2021,13.4,66.7,10,30.5,27.1,71.7,79.9,89.4,47.4,
Hernandez, Cesar,514917,2021,21.2,68.3,15.5,26.1,38.2,59.2,79.9,83,47.1,
Segura, Jean,516416,2021,13.8,66.6,11.4,30.2,30.2,68.5,71.3,87.5,48.7,
Marte, Starling,516782,2021,18.8,71,16,30.1,42.3,56.4,77.5,82.2,49.5,
Donaldson, Josh,518626,2021,21.0,70.2,22.5,22.6,42.1,57.9,83.8,77.4,45.2,
Freeman, Freddie,518692,2021,15.4,77.5,17.2,25.6,32.3,67.1,91.6,82.7,51.2,
LeMahieu, DJ,518934,2021,13.8,61.8,9.8,20.5,28.1,71.9,69.2,90.2,41.4,
Rizzo, Anthony,519203,2021,15.1,64.5,15.6,29.3,31.7,67.4,69.1,84.4,46.5,
Stanton, Giancarlo,519317,2021,27.1,63.5,23.5,28,50.5,49.5,65.9,76.5,44.2,
Perez, Salvador,521692,2021,25.6,78.6,20.8,44.6,50,50,82.4,79.2,58.9,
Garcia, Avisail,541645,2021,23.5,81.8,25.5,37.2,49.4,50.6,91.4,74.5,58.1,
Villar, Jonathan,542340,2021,26.1,74.7,22.2,27.9,48.8,50.5,87.1,77.5,49.9,
Aguilar, Jesus,542583,2021,18.2,63.8,17.1,27.3,44.9,55.1,65.8,82.9,44.8,
Crawford, Brandon,543063,2021,19.1,77.6,20.3,27.9,52.3,47.7,86,79.5,51.7,
Cron, C.J.,543068,2021,21.4,66.2,19.2,30.9,42.3,57.7,70.3,80.8,47.1,
Grossman, Robbie,543257,2021,23.1,63.4,16,15.6,42.6,57.4,79.5,84,38.4,
Harrison, Josh,543281,2021,13.4,75.1,15,35.5,26.9,72.8,77.4,84.9,55.4,
Hosmer, Eric,543333,2021,17.5,67,14.5,31.8,38.5,61.5,82,85.5,48.3,
Semien, Marcus,543760,2021,20.2,69.7,14.4,21.2,44.4,55.6,82.8,85.6,45.1,
Grichuk, Randal,545341,2021,20.9,73.7,13,32.4,44.8,55.2,85.4,87,52.3,
Harper, Bryce,547180,2021,22.4,75.4,24.6,24.7,50.3,49.4,86.3,74.8,47.5,
Abreu, Jose,547989,2021,21.7,66.7,17.4,32.1,46.3,53.7,70.8,82.6,48.4,
Suarez, Eugenio,553993,2021,29.8,64.3,18.9,23.2,56.4,43.6,73.3,81.1,42.7,
Schoop, Jonathan,570731,2021,19.7,71,15.7,35.2,41.6,58.4,80.3,84.3,52.5,
